Date,Type,Name,Amount
31/12/2024,outflow,ICELAND 1508,5
31/12/2024,outflow,HOME BARGAINS,1.39
24/12/2024,outflow,Kitty Cafe Leeds,8
24/12/2024,outflow,Kitty Cafe Leeds,5.9
23/12/2024,outflow,SAINSBURYS S/MKTS,1.75
23/12/2024,outflow,NOTRE DAME 6TH FOR,1.6
20/12/2024,outflow,NOTRE DAME 6TH FOR,3.4
20/12/2024,outflow,NOTRE DAME 6TH FOR,2.7
19/12/2024,outflow,JOLLIBEE,5.49
19/12/2024,outflow,NOTRE DAME 6TH FOR,2.7
19/12/2024,outflow,NYX*LRS,2.2
19/12/2024,outflow,FIRST WEST YORKSHI,2
18/12/2024,outflow,SAINSBURYS S/MKTS,3.5
17/12/2024,outflow,NYX*LRS,2.2
17/12/2024,outflow,HOME BARGAINS,1.39
13/12/2024,outflow,NOTRE DAME 6TH FOR,4.95
12/12/2024,outflow,JOLLIBEE,7.49
12/12/2024,outflow,TESCO STORES 5941,1.75
11/12/2024,outflow,Fried,3.8
11/12/2024,outflow,NOTRE DAME 6TH FOR,2.7
10/12/2024,outflow,NOTRE DAME 6TH FOR,2.7
09/12/2024,outflow,CHEZ-JOEL,8
09/12/2024,outflow,NOTRE DAME 6TH FOR,2.7
09/12/2024,outflow,CHARTWELLS NOTRE D,0.85
06/12/2024,outflow,NOTRE DAME 6TH FOR,3.1
06/12/2024,outflow,HOME BARGAINS,1.39
05/12/2024,outflow,WM MORRISONS STORE,12
05/12/2024,outflow,NOTRE DAME 6TH FOR,2.7
04/12/2024,outflow,NOTRE DAME 6TH FOR,3.4
04/12/2024,outflow,NOTRE DAME 6TH FOR,2.7
04/12/2024,outflow,CHARTWELLS NOTRE D,1.5
02/12/2024,outflow,CR and S Eddy,8
