Transaction Date,Transaction Type,Transaction Name,Debit Amount
25/02/2025,DEB,WWW.WYMETRO.COM,10
21/02/2025,FPO,GORDON CHEUNG,50
21/02/2025,SO,FIXED BOND 1 YEAR,200
20/02/2025,DEB,WWW.WYMETRO.COM,1.2
11/02/2025,DEB,POUNDLAND LTD - 11,1.35
10/02/2025,DEB,POUNDLAND LTD - 11,1.75
07/02/2025,DEB,NOTRE DAME 6TH FOR,3.4
07/02/2025,DEB,POUNDLAND LTD - 11,1.35
07/02/2025,FPO,GORDON CHEUNG,50
06/02/2025,DEB,JOLLIBEE,7.49
06/02/2025,DEB,FIRST WEST YORKSHI,2
06/02/2025,DEB,POUNDLAND LTD - 11,1.35
05/02/2025,DEB,SAINSBURYS S/MKTS,1.9
05/02/2025,DEB,NOTRE DAME 6TH FOR,1.8
04/02/2025,DEB,WWW.WYMETRO.COM,10
04/02/2025,DEB,SAINSBURYS S/MKTS,1.9
03/02/2025,DEB,NOTRE DAME 6TH FOR,2.1
03/02/2025,DEB,SAINSBURYS S/MKTS,1.9
