Transaction Date,Type,Name,Amount
31/01/2025,outflow,SumUp  *Eldon Cour,2.65
29/01/2025,outflow,NOTRE DAME 6TH FOR,3.4
29/01/2025,outflow,SAINSBURYS S/MKTS,1.9
29/01/2025,outflow,TESCO STORES,1.75
27/01/2025,outflow,NOTRE DAME 6TH FOR,2.7
27/01/2025,outflow,NOTRE DAME 6TH FOR,1.6
24/01/2025,outflow,NOTRE DAME 6TH FOR,2.6
24/01/2025,outflow,SAINSBURYS S/MKTS,2.25
23/01/2025,outflow,KFC LEEDS MERRION,5.98
23/01/2025,outflow,NOTRE DAME 6TH FOR,2.5
22/01/2025,outflow,SAINSBURYS S/MKTS,1.9
22/01/2025,outflow,NOTRE DAME 6TH FOR,1.5
20/01/2025,outflow,NOTRE DAME 6TH FOR,2.5
17/01/2025,outflow,TESCO STORES 5597,4.4
17/01/2025,outflow,NOTRE DAME 6TH FOR,2.5
17/01/2025,outflow,TESCO STORES 5697,2.3
17/01/2025,outflow,NOTRE DAME 6TH FOR,1.6
16/01/2025,outflow,JOLLIBEE,7.49
16/01/2025,outflow,SAINSBURYS S/MKTS,1.75
15/01/2025,outflow,NOTRE DAME 6TH FOR,2.5
14/01/2025,outflow,NOTRE DAME 6TH FOR,2.3
14/01/2025,outflow,SAINSBURYS S/MKTS,1.65
13/01/2025,outflow,NOTRE DAME 6TH FOR,2.5
13/01/2025,outflow,HOME BARGAINS,1.39
10/01/2025,outflow,NOTRE DAME 6TH FOR,5.1
09/01/2025,outflow,NOTRE DAME 6TH FOR,2.5
09/01/2025,outflow,GREGGS,1.85
08/01/2025,outflow,NOTRE DAME 6TH FOR,2.7
08/01/2025,outflow,NOTRE DAME 6TH FOR,1.6
06/01/2025,outflow,ICELAND 1508,2
