Date,Type,Name,Amount
29/11/2024,outflow,ARDEN NEWS,2.34
28/11/2024,outflow,JOLLIBEE,7.49
28/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
27/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
27/11/2024,outflow,NOTRE DAME 6TH FOR,1.6
27/11/2024,outflow,CHARTWELLS NOTRE D,1
26/11/2024,outflow,WM MORRISONS STORE,14.48
25/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
22/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
22/11/2024,outflow,NOTRE DAME 6TH FOR,1.6
21/11/2024,outflow,ICELAND 1508,4.2
21/11/2024,outflow,PYD*DOPPIO 00,3.6
21/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
20/11/2024,outflow,Fried,5
19/11/2024,outflow,TESCO STORES,0.8
18/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
18/11/2024,outflow,NOTRE DAME 6TH FOR,1.6
15/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
15/11/2024,outflow,NOTRE DAME 6TH FOR,1.6
15/11/2024,outflow,CHARTWELLS NOTRE D,1
14/11/2024,outflow,Batch'd (Leeds Tri,4.25
14/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
14/11/2024,outflow,NOTRE DAME 6TH FOR,1.8
13/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
13/11/2024,outflow,ARDEN NEWS,1.55
13/11/2024,outflow,CHARTWELLS NOTRE D,1
12/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
12/11/2024,outflow,NOTRE DAME 6TH FOR,1.6
11/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
11/11/2024,outflow,NOTRE DAME 6TH FOR,1.8
08/11/2024,outflow,NOTRE DAME 6TH FOR,3.4
08/11/2024,outflow,HOME BARGAINS,1.39
07/11/2024,outflow,JOLLIBEE,7.49
07/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
06/11/2024,outflow,NOTRE DAME 6TH FOR,1.5
05/11/2024,outflow,NOTRE DAME 6TH FOR,2.7
01/11/2024,outflow,GREGGS,2
01/11/2024,outflow,TESCO STORES 5941,1.75
