Transaction Date,Type,Name,Amount
22/10/2024,outflow,NYX*PureGym,1.9
21/10/2024,outflow,NOTRE DAME 6TH FOR,1.5
21/10/2024,outflow,NOTRE DAME 6TH FOR,3.4
18/10/2024,outflow,Taste The Orient,2.75
17/10/2024,outflow,Fried,5
17/10/2024,outflow,GREGGS,2
17/10/2024,outflow,NOTRE DAME 6TH FOR,2.7
16/10/2024,outflow,NOTRE DAME 6TH FOR,2.7
15/10/2024,outflow,NOTRE DAME COLLEGE,1.6
14/10/2024,outflow,NOTRE DAME 6TH FOR,1.5
14/10/2024,outflow,Gong Cha,5.5
14/10/2024,outflow,HOME BARGAINS,1.39
14/10/2024,outflow,NOTRE DAME 6TH FOR,2.7
14/10/2024,outflow,NOTRE DAME 6TH FOR,1.8
11/10/2024,outflow,NOTRE DAME 6TH FOR,2.7
10/10/2024,outflow,NOTRE DAME 6TH FOR,2.7
10/10/2024,outflow,NOTRE DAME 6TH FOR,1.6
08/10/2024,outflow,NOTRE DAME COLLEGE,1.6
07/10/2024,outflow,NOTRE DAME 6TH FOR,2.7
07/10/2024,outflow,NOTRE DAME 6TH FOR,1.5
07/10/2024,outflow,NOTRE DAME 6TH FOR,3.4
03/10/2024,outflow,Pho Leeds,13.65
03/10/2024,outflow,NOTRE DAME 6TH FOR,5.2
02/10/2024,outflow,NOTRE DAME 6TH FOR,2.7
02/10/2024,outflow,NOTRE DAME 6TH FOR,1.6
01/10/2024,outflow,ZETTLE_*BLACK SHEE,3.89
