Transaction Date,Transaction Type,Transaction Description,Debit Amount
30/09/2024,outflow,JOLLIBEE,13.48
30/09/2024,outflow,NOTRE DAME 6TH FOR,4
30/09/2024,outflow,NOTRE DAME 6TH FOR,2.7
27/09/2024,outflow,NOTRE DAME 6TH FOR,2.7
26/09/2024,outflow,KFC LEEDS MERRION,4.99
26/09/2024,outflow,NOTRE DAME 6TH FOR,3.4
26/09/2024,outflow,LONDIS WOODHOUSE,1.55
25/09/2024,outflow,NOTRE DAME 6TH FOR,2.7
24/09/2024,outflow,NYX*LRS,2.8
23/09/2024,outflow,NOTRE DAME 6TH FOR,2.7
23/09/2024,outflow,COSTA COFFEE 43011,2.8
23/09/2024,outflow,NOTRE DAME 6TH FOR,2.7
23/09/2024,outflow,NOTRE DAME 6TH FOR,1.6
20/09/2024,outflow,WM MORRISONS STORE,7.65
20/09/2024,outflow,NOTRE DAME 6TH FOR,2.95
19/09/2024,outflow,HOME BARGAINS,0.99
18/09/2024,outflow,MCDONALDS 1578,5.19
18/09/2024,outflow,NOTRE DAME 6TH FOR,2.6
17/09/2024,outflow,HOME BARGAINS,2.6
16/09/2024,outflow,HOME BARGAINS,6.59
16/09/2024,outflow,NOTRE DAME 6TH FOR,1.6
16/09/2024,outflow,NOTRE DAME 6TH FOR,3.4
12/09/2024,outflow,WENDY'S,7.49
12/09/2024,outflow,NOTRE DAME 6TH FOR,2.5
11/09/2024,outflow,TESCO STORES,0.8
06/09/2024,outflow,NOTRE DAME 6TH FOR,0.95
